trigger,target_id,name,ra,dec,pos_err_arcsec,enhanced,z_limit,has_position,curve_url
504215,00504215,GRB110928A,17 10 56.04,+36 32 10.8,4.1,No,2.5,True,https://www.swift.ac.uk/xrt_curves/00504215/
502024,00502024,BAT_Trigger_502024,,,,,,False,https://www.swift.ac.uk/xrt_curves/00502024/
501752,00501752,BAT_Trigger_501752,,,,,,False,https://www.swift.ac.uk/xrt_curves/00501752/
501485,00501485,BAT_Trigger_501485,,,,,,False,https://www.swift.ac.uk/xrt_curves/00501485/
501368,00501368,BAT_Trigger_501368,,,,,,False,https://www.swift.ac.uk/xrt_curves/00501368/
501095,00501095,GRB110820A,22 52 45.88,+70 17 51.7,2.3,Yes,,True,https://www.swift.ac.uk/xrt_curves/00501095/
500914,00500914,GRB110818A,21 09 21.07,-63 58 52.7,2.0,Yes,4.5,True,https://www.swift.ac.uk/xrt_curves/00500914/
458918,00458918,GRB110808A,03 49 4.14,-44 11 38.9,2.6,Yes,,True,https://www.swift.ac.uk/xrt_curves/00458918/
458907,00458907,GRB110807A,18 34 52.20,-08 45 57.5,3.7,No,,True,https://www.swift.ac.uk/xrt_curves/00458907/
458521,00458521,GRB110801A,05 57 45.09,+80 57 21.1,2.2,Yes,,True,https://www.swift.ac.uk/xrt_curves/00458521/
458448,00458448,GRB110731A,18 42 0.85,-28 32 13.6,2.0,Yes,4.3,True,https://www.swift.ac.uk/xrt_curves/00458448/
458345,00458345,BAT_Trigger_458345,01 46 22.34,+61 45 04.3,2.0,Yes,3.7,True,https://www.swift.ac.uk/xrt_curves/00458345/
458276,00458276,BAT_Trigger_458276,,,,,,False,https://www.swift.ac.uk/xrt_curves/00458276/
458269,00458269,BAT_Trigger_458269,,,,,,False,https://www.swift.ac.uk/xrt_curves/00458269/
458268,00458268,BAT_Trigger_458268,,,,,,False,https://www.swift.ac.uk/xrt_curves/00458268/
458059,00458059,GRB110726A,19 06 52.04,+56 04 15.9,2.1,Yes,,True,https://www.swift.ac.uk/xrt_curves/00458059/
457553,00457553,GRB110719A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00457553/
457076,00457076,GRB110711A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00457076/
456967,00456967,GRB110709B,,,,,,False,https://www.swift.ac.uk/xrt_curves/00456967/
456939,00456939,GRB110709A,15 55 33.86,+40 55 28.0,2.0,Yes,2.0,True,https://www.swift.ac.uk/xrt_curves/00456939/
456780,00456780,BAT_Trigger_456780,,,,,,False,https://www.swift.ac.uk/xrt_curves/00456780/
456532,00456532,GRB110702A,,,,,,False,https://www.swift.ac.uk/xrt_curves/00456532/
456505,00456505,BAT_Trigger_456505,18 41 19.41,-04 56 11.0,3.6,No,2.5,True,https://www.swift.ac.uk/xrt_curves/00456505/
456073,00456073,GRB110625B,19 06 55.66,+06 45 14.7,3.6,No,,True,https://www.swift.ac.uk/xrt_curves/00456073/
455904,00455904,BAT_Trigger_455904,18 41 19.43,-04 56 09.9,2.1,Yes,3.2,True,https://www.swift.ac.uk/xrt_curves/00455904/
455155,00455155,GRB110610A,20 32 42.57,+74 49 27.5,3.6,No,2.0,True,https://www.swift.ac.uk/xrt_curves/00455155/
454473,00454473,GRB110530A,18 48 16.63,+61 55 45.3,2.0,Yes,4.2,True,https://www.swift.ac.uk/xrt_curves/00454473/
